[2025-03-26 12:26:50,504] INFO django.server: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,509] INFO django.server: "GET /static/admin/js/core.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,511] INFO django.server: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,522] INFO django.server: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,525] INFO django.server: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,550] INFO django.server: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,551] INFO django.server: "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[2025-03-26 12:26:50,562] INFO django.server: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,568] INFO django.server: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,584] INFO django.server: "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[2025-03-26 12:26:50,611] INFO django.server: "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[2025-03-26 12:26:50,616] INFO django.server: "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
[2025-03-26 12:26:57,785] INFO django.server: "GET /admin/testapp/customuser/ HTTP/1.1" 200 10635
[2025-03-26 12:26:57,861] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-03-26 12:27:11,591] INFO django.server: "GET /admin/authtoken/tokenproxy/add/ HTTP/1.1" 200 10516
[2025-03-26 12:27:11,612] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[2025-03-26 12:27:11,624] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[2025-03-26 12:27:11,647] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[2025-03-26 12:27:11,649] INFO django.server: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
[2025-03-26 12:27:11,662] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-03-26 12:27:11,666] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[2025-03-26 12:27:15,510] INFO django.server: "POST /admin/authtoken/tokenproxy/add/ HTTP/1.1" 302 0
[2025-03-26 12:27:15,561] INFO django.server: "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 10403
[2025-03-26 12:27:15,594] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-03-26 12:27:30,423] INFO django.server: "GET /admin/authtoken/tokenproxy/2/change/ HTTP/1.1" 200 10834
[2025-03-26 12:27:30,447] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-03-26 12:27:33,847] INFO django.server: "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 10165
[2025-03-26 12:27:49,548] WARNING django.request: Unauthorized: /api/assign/
[2025-03-26 12:27:49,550] WARNING django.server: "POST /api/assign/ HTTP/1.1" 401 58
[2025-03-26 12:27:51,364] WARNING django.request: Unauthorized: /api/assign/
[2025-03-26 12:27:51,365] WARNING django.server: "POST /api/assign/ HTTP/1.1" 401 58
[2025-03-26 12:33:18,704] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 12:33:23,872] INFO testapp.views: Task created: Test Task
[2025-03-26 12:33:23,918] INFO django.server: "POST /api/create/ HTTP/1.1" 201 179
[2025-03-26 12:33:29,950] INFO testapp.views: Task created: Test Task
[2025-03-26 12:33:29,956] INFO django.server: "POST /api/create/ HTTP/1.1" 201 179
[2025-03-26 12:35:15,594] INFO testapp.views: Task 2 assigned to users [2, 3]
[2025-03-26 12:35:15,597] INFO django.server: "POST /api/assign/ HTTP/1.1" 200 41
[2025-03-26 12:35:46,821] INFO testapp.views: Retrieved tasks for user 2
[2025-03-26 12:35:46,828] INFO django.server: "GET /api/user-tasks/2/ HTTP/1.1" 200 325
[2025-03-26 12:37:33,563] WARNING django.request: Not Found: /assign/
[2025-03-26 12:37:34,347] WARNING django.request: Not Found: /create/
[2025-03-26 12:37:35,077] WARNING django.request: Not Found: /user-tasks/1/
[2025-03-26 12:42:24,424] WARNING testapp.views: Task assignment failed: {'user_ids': [ErrorDetail(string='This field is required.', code='required')]}
[2025-03-26 12:42:24,425] WARNING django.request: Bad Request: /api/assign/
[2025-03-26 12:42:24,802] INFO testapp.views: Task created: New Task
[2025-03-26 12:42:25,178] INFO testapp.views: Retrieved tasks for user 1
[2025-03-26 12:49:05,342] INFO testapp.views: Task 1 assigned to users [1, 2]
[2025-03-26 12:49:06,075] INFO testapp.views: Task created: New Task
[2025-03-26 12:49:06,877] INFO testapp.views: Retrieved tasks for user 1
[2025-03-26 13:32:14,554] INFO django.utils.autoreload: Watching for file changes with StatReloader
